ntw	slice	metrics	min	max	mean	p25	p50	p75
"MX03"	"mx03_140630.xlsx"	"Betweenness"	0	204.56429	23.580574	0	.66666667	20.441991
"MX03"	"mx03_140630.xlsx"	"Eigenvalue"	0	.45495247	.09052926	.00059917	.02883722	.12209337
"MX03"	"mx03_130628.xlsx"	"In-Degree"	0	14	3.1395349	0	3	5
"MX03"	"mx03_130628.xlsx"	"Out-Degree"	0	12	3.1395349	0	3	5
"MX03"	"mx03_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX03"	"mx03_130628.xlsx"	"Betweenness"	0	227.45714	29.265288	0	3.5	37.562446
"MX03"	"mx03_130628.xlsx"	"Eigenvalue"	0	.44346216	.09416556	0	.03610126	.14598658
"MX03"	"mx03_081031.xlsx"	"In-Degree"	0	15	2.744186	0	1	5.75
"MX03"	"mx03_081031.xlsx"	"Out-Degree"	0	9	2.744186	0	1	5.75
"MX03"	"mx03_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX03"	"mx03_081031.xlsx"	"Betweenness"	0	136.8848	20.023847	0	0	35.106456
"MX03"	"mx03_081031.xlsx"	"Eigenvalue"	0	.39810895	.08977619	0	.03057908	.13815598
"MX02"	"mx02_140630.xlsx"	"In-Degree"	0	12	1.7209302	0	0	2
"MX02"	"mx02_140630.xlsx"	"Out-Degree"	0	8	1.7209302	0	0	2
"MX02"	"mx02_140630.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_140630.xlsx"	"Betweenness"	0	126.9	14.305426	0	0	9.525
"MX02"	"mx02_140630.xlsx"	"Eigenvalue"	-.46913419	0	-.10075772	-.17285481	-.08792146	0
"MX02"	"mx02_130628.xlsx"	"In-Degree"	0	18	1.4883721	0	0	2
"MX02"	"mx02_130628.xlsx"	"Out-Degree"	0	5	1.4883721	0	0	2
"MX02"	"mx02_130628.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_130628.xlsx"	"Betweenness"	0	158	13.709302	0	0	1.5
"MX02"	"mx02_130628.xlsx"	"Eigenvalue"	0	.52881227	.08854163	0	.03340712	.15917442
"MX02"	"mx02_081031.xlsx"	"In-Degree"	0	6	1.1395349	0	0	2
"MX02"	"mx02_081031.xlsx"	"Out-Degree"	0	8	1.1395349	0	0	2
"MX02"	"mx02_081031.xlsx"	"Closeness"	0	0	0	0	0	0
"MX02"	"mx02_081031.xlsx"	"Betweenness"	0	60.666667	3.6317829	0	0	0
"MX02"	"mx02_081031.xlsx"	"Eigenvalue"	-.62842017	0	-.0642368	0	0	0
"MX01"	"mx01_140630.xlsx"	"In-Degree"	0	29	9.7674419	2.25	10	14.75
